participant,answer,confidence,std_temp,slope_temp,std_pupil,slope_pupil,mean_fixation_duration,std_fixation_duration,mean_saccade_length,std_saccade_length
P1,0,60,0.027129035854,1.57086520363e-05,0.0811296820025,0.00110387839589,1.62075375641,5.03151910579,200.697976195,216.419588376
P1,1,80,0.0510631382932,-0.00363775084604,0.157964350812,-0.00251123976077,0.728168838235,0.476081643879,166.995454227,182.379230282
P1,1,80,0.165280441364,-0.000260795692898,0.179103460223,0.000401006529826,0.797976394834,0.548808124537,149.799141333,152.448516658
P1,0,40,0.160783615666,-0.00300211580108,0.0624518409864,-0.000994351548334,0.938624744048,1.02661649681,157.759105645,169.887407513
P1,1,40,0.0240849049122,0.0033019367711,0.0575782764517,0.0010628165522,0.763596633333,0.456879475898,109.238151352,77.3577720507
P1,1,40,0.0625838192272,0.00556077293703,0.0662668380566,-0.00158244508253,0.767767145833,0.411292172954,135.751566893,123.579702271
P1,0,80,0.0122534355865,0.00158325219261,0.130379809657,-0.00675577228925,0.765502,0.438314448622,103.478355709,93.4471183753
P1,0,60,0.0325485064702,-0.00276933191173,0.175067236929,-0.00281977109183,0.684254880952,0.389826977547,159.268371705,153.912856207
P3,1,40,0.180692640691,-0.00136993211366,0.0944497960417,0.000543128652527,0.692128437939,0.784422037938,176.013487391,156.020077862
P3,0,0,0.0429929062433,-0.000565022758346,0.104882839714,-0.00131714628363,0.805138795918,0.748399423401,205.325127775,201.061199753
P3,0,40,0.0185691176467,-0.000326312313652,0.087365220095,-0.00093508988921,0.805132536232,0.804150006662,167.584639939,118.487047611
P3,1,0,0.0901867815498,-0.00135721823719,0.16084221576,-0.00105048146491,0.923719409756,1.0770482826,140.953814949,122.338244196
P3,0,40,0.0187788595061,-0.00131508456571,0.0755006370884,0.000909940378833,0.747860507042,0.652428274567,192.215423415,122.047388672
P3,0,20,0.00879446063179,0.000959559201644,0.152919255954,0.00238735804213,0.652530183333,0.643022464817,198.952883949,162.642359364
P3,1,60,0.0652642665986,0.00318136526876,0.154225848313,-0.0033480315801,0.711558081395,0.651938199804,132.132197712,89.3554529388
P3,1,40,0.0361139529822,-0.00507885049148,0.102654093653,0.0114413419685,0.923221896552,0.664902192766,153.810636571,70.6409751986
P6,0,60,0.112876064844,-0.00499705776886,0.119417699803,0.00236770474993,0.94387212,1.06581058396,166.189736942,138.008796107
P6,0,60,0.0448028153254,0.000976070395559,0.126018511601,0.00142087335177,0.776977735537,0.542832420828,173.055616264,171.022817479
P6,0,40,0.0728915876746,0.000634043802363,0.1381234615,0.00164931524706,0.684252491228,0.43348888471,163.965313764,164.426578837
P6,0,40,0.0343712732257,-0.00211560644509,0.0908063977326,-0.00644494317707,0.681969460526,0.450640670943,183.886238206,176.438839476
P6,0,60,0.0121457020593,0.000506826730804,0.107515306677,-0.00141770297179,0.743656415584,0.472644832469,155.573089037,134.988639536
P6,0,40,0.0226505658677,0.00135034674095,0.100434173405,0.00589599646922,0.654681380282,0.429512542607,167.855252734,138.579620326
P6,1,80,0.0182935016467,-0.00169712345476,0.108625906732,0.00234492546052,0.614228352941,0.31931676691,171.329729951,170.077060147
P6,0,60,nan,nan,0.0799636446581,-0.00523008056005,0.877695818182,0.654896417537,108.192640372,58.1014455891
P7,1,60,0.00227719027924,0.000202438578203,0.26479291588,-0.0558886353545,0.846889416667,0.705611855545,136.908207334,97.588366639
P7,0,60,0.0972802042845,-0.00491838115019,0.173624479015,0.000141692547869,0.711397377778,0.579005791599,234.654012334,212.938201337
P7,1,40,0.0867574444452,-0.0068605384735,0.173137473087,-0.00171567269982,0.592189030303,0.503519798678,179.196558358,177.999239015
P7,0,40,0.0165626400786,-0.00151695043517,0.14268605268,-0.0026942763536,0.724958682927,0.539218129703,229.879110958,227.654774867
P7,1,60,0.00290055566064,-0.000513745776128,0.0879188013185,0.000927482374504,0.929127692308,1.08341927869,112.849283793,36.4231362278
P7,0,60,0.0762295240613,-0.00157408064049,0.16721840904,0.00468366496038,0.670972891753,0.418225805169,166.447758937,120.259094826
P7,0,80,0.00974458793972,-0.000786235434676,0.196705334425,0.00410855602552,0.603073876543,0.466384435116,177.124499751,137.097187498
P7,0,100,0.00294679380853,0.00042828986339,0.148364454408,0.00429415653888,1.013152625,1.07639978993,188.175477105,176.018010784
P10,0,60,0.5468893363,0.0160489188159,0.127177483632,-0.000818721155702,0.653316652439,0.464610863426,205.281726987,210.462066132
P10,0,60,0.06601759843,0.00641382549691,0.129985645706,0.00485473141571,0.621715206349,0.441211466394,205.877644843,221.309372989
P10,0,40,0.164943946843,0.010761770902,0.0763436993956,-0.000592936331956,0.549967581633,0.347188336389,198.248154583,181.20050349
P10,0,0,0.190490975204,0.0164184886701,0.0723214868822,-0.00792598085922,0.630035538462,0.482232225319,183.80861571,157.359491945
P10,0,20,0.123174744779,0.0152107561151,0.0873000048948,0.00134756860426,0.626056511111,0.336662816019,166.624493627,117.896271337
P10,0,40,0.0981096910525,0.0103624390969,0.10373347969,0.0146280674622,0.500750771429,0.273338649117,182.503011575,157.070873504
P10,0,60,0.0689705210804,0.00548022475466,0.133378628164,-0.00131326972181,0.587293486842,0.259407945757,183.205727573,164.868706025
P10,0,40,nan,nan,0.142408895843,-0.00151688655697,0.585529924138,0.352467915092,161.794571563,142.748067568
P11,0,60,0.196528097386,0.00778848135958,0.116438863206,-0.00103703506456,0.519253160494,0.325216098175,193.352836533,194.84720025
